,Trial Name,Grid Re,Rossby Number,Shaft Speed Standard Deviation * M / u_inf,Turbulence Intensity,Turbulence Intensity Uncertainty,L_ux / M,L_ux Uncertainty,Anisotropy,Re_lambda,Epsilon,
116,fs_9.75_Ro_40_Std_2.53,39409.93063,40,0.015736407,0.135128424,0.008948197,3.349634926,0.377306885,1.220944633,693.2323587,6.333749755,620.1706892
15,fs_12_Ro_30_Std_2.53,48339.27018,30,0.012829542,0.136779258,0.009417329,2.884883551,0.284802945,1.190195325,818.98468,10.78298002,620.1706892
32,fs_3_Ro_20_Std_2.53,11922.25121,20,0.052017918,0.105693893,0.005484953,2.501049793,0.585912743,1.258570577,224.6556878,0.189063133,620.1706892
84,fs_7.5_Ro_25_Std_2.53,29468.93032,25,0.0210449,0.124516899,0.008050686,2.577840233,0.42183447,1.167477307,479.02994,2.989884307,620.1706892
100,fs_9.75_Ro_15_Std_2.53,38585.68296,15,0.01607256,0.122095693,0.00778778,2.439115809,0.153898262,1.163489699,571.945378,5.69909718,620.1706892
72,fs_5.25_Ro_70_Std_2.53,20777.39435,70,0.029848338,0.124875207,0.007787651,2.691181957,0.668274079,1.209838061,372.6681828,1.234905201,620.1706892
40,fs_3_Ro_30_Std_2.53,12005.52071,30,0.051657125,0.104387242,0.00569971,2.296193345,0.240161391,1.187411452,219.6862886,0.193426881,620.1706892
56,fs_5.25_Ro_20_Std_2.53,21207.55317,20,0.029242916,0.11336074,0.006466674,2.579709601,0.433684179,1.216303254,341.1202889,1.086442807,620.1706892
76,fs_7.5_Ro_15_Std_2.53,28704.7258,15,0.021605177,0.119260018,0.007508624,2.353711122,0.24883811,1.155373877,435.7580027,2.73723051,620.1706892
96,fs_7.5_Ro_70_Std_2.53,30078.36932,70,0.020618494,0.131833219,0.007938152,3.981233603,1.131206308,1.30506757,547.0528204,3.126562271,620.1706892
104,fs_9.75_Ro_20_Std_2.53,37538.66687,20,0.01652085,0.127136246,0.008328525,2.667257364,0.390355753,1.173188948,582.9475126,5.777541106,620.1706892
23,fs_12_Ro_70_Std_2.53,47988.96577,70,0.012923193,0.139753637,0.008699121,4.336244674,1.454863912,1.327150661,848.1985316,10.64221519,620.1706892
52,fs_5.25_Ro_15_Std_2.53,20908.09841,15,0.029661745,0.110372558,0.006618815,2.022855856,0.069269229,1.135913936,327.6696738,0.999629604,620.1706892
11,fs_12_Ro_25_Std_2.53,47843.99645,25,0.012962351,0.134167651,0.009069973,2.623621527,0.28042289,1.191187681,786.0997686,10.3981183,620.1706892
80,fs_7.5_Ro_20_Std_2.53,29215.52798,20,0.021227434,0.124477827,0.008174401,2.182459717,0.180604114,1.150507629,472.0184226,2.971078165,620.1706892
88,fs_7.5_Ro_30_Std_2.53,29457.78072,30,0.021052865,0.130367805,0.008340333,3.191448184,0.621501328,1.223721833,516.4592035,3.086160471,620.1706892
44,fs_3_Ro_40_Std_2.53,11989.37551,40,0.051726688,0.106990343,0.006188011,2.200020605,0.638683386,1.146436039,226.4708526,0.199778603,620.1706892
64,fs_5.25_Ro_30_Std_2.53,20678.0423,30,0.029991751,0.121231333,0.007442127,2.782409713,0.889227033,1.198614789,361.6068546,1.142964971,620.1706892
112,fs_9.75_Ro_30_Std_2.53,39755.90345,30,0.015599462,0.133165546,0.008888136,2.846568142,0.345930436,1.197759343,683.0496886,6.372039223,620.1706892
108,fs_9.75_Ro_25_Std_2.53,37889.14579,25,0.01636803,0.130548605,0.008912282,2.285770881,0.196374034,1.1543041,611.633822,6.055837895,620.1706892
19,fs_12_Ro_40_Std_2.53,47656.60486,40,0.013013321,0.137993857,0.009130342,3.224848216,0.422303199,1.242999027,815.673677,10.6391651,620.1706892
120,fs_9.75_Ro_70_Std_2.53,39727.27829,70,0.015610702,0.136389104,0.008465714,4.004816449,0.869669009,1.304663355,710.8284201,6.455849846,620.1706892
68,fs_5.25_Ro_40_Std_2.53,20642.39285,40,0.030043546,0.12606209,0.007543808,3.68449284,0.825090666,1.266283838,383.2693078,1.181351438,620.1706892
3,fs_12_Ro_15_Std_2.53,47643.71213,15,0.013016842,0.12789678,0.008349099,2.68575414,0.357456959,1.182711308,733.5108033,9.697433403,620.1706892
7,fs_12_Ro_20_Std_2.53,47765.56871,20,0.012983635,0.133380229,0.009376374,2.420212876,0.161286767,1.143770106,772.8394489,10.43893303,620.1706892
60,fs_5.25_Ro_25_Std_2.53,21046.8799,25,0.029466158,0.118043733,0.006896158,3.498353014,2.332590177,1.228518602,359.0305853,1.118584436,620.1706892
92,fs_7.5_Ro_40_Std_2.53,29594.96721,40,0.020955275,0.130490678,0.008075634,3.558265085,0.315972591,1.262404716,524.5170193,3.059702938,620.1706892
28,fs_3_Ro_15_Std_2.53,11772.88365,15,0.052677892,0.100747882,0.005149465,2.82669963,1.383147295,1.230055453,210.4478885,0.169120008,620.1706892
36,fs_3_Ro_25_Std_2.53,11976.25197,25,0.05178337,0.111845288,0.006565399,2.613230533,0.756527589,1.171408161,246.7168727,0.200154697,620.1706892
48,fs_3_Ro_70_Std_2.53,12021.37011,70,0.051589019,0.109961556,0.006424443,2.288289682,0.79020944,1.160721475,238.6921101,0.202820706,620.1706892
