,Size of Training Data,Tu RMS Error,L_ux RMS Error
0,23.0,0.004803212309968013,0.44857590580025225
1,32.0,0.0043637465562075374,0.41084661337675704
2,41.0,0.00401266656909738,0.386030968462805
3,50.0,0.004169276651841666,0.38102360400053764
4,59.0,0.0034441873200416074,0.34988590735862163
5,68.0,0.0034133197162912357,0.349084997412874
6,78.0,0.0029509499713102406,0.32790537463359615
7,87.0,0.002759548991279803,0.32113189054373975
8,96.0,0.0025608587686026655,0.31345800733265705
9,105.0,0.0024831995588662724,0.30971564122815765
