,Size of Training Data,Tu RMS Relative Error,L_ux RMS Relative Error
0,6.0,0.09366734266746789,0.23577673657983542
1,8.0,0.08741039785090834,0.2274429055452347
2,10.0,0.08514667531196028,0.21211016091890633
3,13.0,0.07849288265779615,0.19848510080575943
4,15.0,0.07370905972272157,0.19470857360213994
5,17.0,0.07553287945315242,0.19319548179768026
6,20.0,0.07352464060671628,0.1861878213491291
7,22.0,0.0715231925714761,0.18481985513865948
8,24.0,0.06347898794431239,0.18408705814927817
9,27.0,0.06359117369260639,0.1736081072203815
