,Size of Training Data,Tu RMS Relative Error,L_ux RMS Relative Error
0,12.0,0.28552372850977914,1.7297935955151664
1,14.0,0.16979978402741552,1.463485023208
2,17.0,0.17674110962082407,0.5058774457416151
3,19.0,0.09665743138136738,0.31988671907846966
4,22.0,0.02892117138480806,0.17498609427275466
5,24.0,0.028474479231478035,0.1724323508012051
6,26.0,0.027403992734305653,0.17306110835836624
7,29.0,0.02437294892043055,0.18164755446716252
8,31.0,0.024537962228511467,0.17363339869952382
9,34.0,0.025382323087409543,0.1753107549220624
10,36.0,0.02578729493090224,0.17519320299056293
11,39.0,0.024592462375638564,0.1692628483661253
12,41.0,0.024436029169052537,0.16021284278984588
13,44.0,0.025349256104249755,0.16074359083461576
14,46.0,0.02267988859448527,0.16191267423796463
15,49.0,0.021719043462158368,0.1515751794815729
16,51.0,0.02082930239407322,0.1456482129733757
17,54.0,0.019007940389282132,0.14029185328327282
18,56.0,0.018426966039931932,0.13926613372034435
19,59.0,0.01772634190506902,0.13186192179138478
20,61.0,0.017517191862480026,0.1376072515781377
21,64.0,0.017275931697733685,0.13529689299105202
22,66.0,0.017667721415786323,0.1374089583543826
23,69.0,0.01741191814534391,0.1370524703831245
24,71.0,0.017843845951583125,0.1384972466248232
25,74.0,0.017397788742498622,0.13826451272556545
26,76.0,0.017314282029172606,0.142659364850449
27,79.0,0.017130073538222695,0.14113554920169588
28,81.0,0.016532007441633724,0.14104950355990425
29,84.0,0.016634675389539326,0.13892139783500437
30,86.0,0.016609617031789453,0.14069419369477107
31,89.0,0.016072881899214665,0.13865766936906532
32,91.0,0.015929804471080247,0.14229229925408474
33,94.0,0.016293973417764864,0.13921950997855853
34,96.0,0.016513916107193206,0.1360435743835134
35,98.0,0.016243629168485242,0.13543547371807413
36,101.0,0.016171629263801106,0.13674656935369262
37,103.0,0.015850383013649876,0.1300749153558381
38,106.0,0.015378405530362285,0.12932030884936396
39,108.0,0.015245062148465643,0.13112523475643692
