,Size of Training Data,Tu RMS Error,L_ux RMS Error
0,23.0,0.005065498976149124,0.4168378411834312
1,32.0,0.004858781515104376,0.4006190672472396
2,41.0,0.004789083443281681,0.39197675221976414
3,50.0,0.004750438536238343,0.3865338616951772
4,59.0,0.0047300601614676495,0.38294282660019835
5,68.0,0.004711233433464455,0.3812184764567275
6,78.0,0.004694907050372769,0.37887368731633914
7,87.0,0.004669947294724231,0.37654495123339166
8,96.0,0.004652446625309756,0.375933663389214
9,105.0,0.004642971978004967,0.3746853912330842
