,Size of Training Data,Tu RMS Relative Error,L_ux RMS Relative Error
0,23.0,0.029756611242227272,0.17088934653970336
1,32.0,0.025856669979002357,0.15712945254759939
2,41.0,0.023970184240775117,0.15060083449269274
3,50.0,0.022637567978362607,0.14483259596241302
4,59.0,0.021931730364999635,0.14100768189387106
5,68.0,0.021526405576114974,0.1389512429593297
6,78.0,0.021083739259183373,0.13644781353872104
7,87.0,0.02079487754269875,0.1340128426369899
8,96.0,0.020562619495037956,0.1328393765053028
9,105.0,0.020391401086497632,0.13179285494507464
